FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,ACC_REC
925.303901855929,774.977699700468,-98.3864708585407,594.714525,5,0.2788,0,0
900.05130990124,728.512824909981,-149.841364782862,527.060694,4,0.366,0,0
826.393382937668,780.008118686075,-190.299907629347,672.78546,5,0.2844,0,0
800.73421352119,763.700888278673,-107.142544921152,374.036526,4,0.3205,1,0
840.660755354838,761.03062800244,-114.192698317731,519.023278,3,0.448333333333333,1,0
824.954783477255,754.040343805088,-70.1091286676547,510.061302,6,0.214666666666667,1,0
784.080239794536,734.173444641629,-105.325858650169,593.155982,5,0.265,1,0
868.261367324321,790.471159346993,-75.5086673540005,405.167202,5,0.2686,1,0
795.491780357651,738.968216473124,-92.8736162023769,545.746316,3,0.505,0,0
798.09622756746,829.301729067511,-40.2312056448263,639.990465,4,0.339,1,0
814.243154707192,816.095667266659,-18.0895137387349,616.18793,5,0.2554,1,0
849.447246473035,785.919449219106,-60.2899897526124,478.769057,3,0.443666666666667,1,0
800.185774582745,784.657287306756,-28.3747926828369,500.545732,5,0.2198,2,0
891.681709923324,873.096072014037,-39.8350373187134,564.89523,4,0.33575,1,0
867.702068101975,737.084888250929,-121.180403934065,813.419052,5,0.252,1,0
788.621706315432,794.016999556608,-99.3955483906193,557.230308,6,0.211833333333333,1,0
867.342079125892,853.913831791282,-39.2999532241847,618.818493,3,0.465,1,0
821.209144305194,712.226521334242,-55.8850574565811,782.332019,5,0.2662,1,0
805.357403176315,829.14385215841,-38.0785459500406,599.374131,5,0.2628,1,0
753.081443192571,785.805362507709,-33.8487381971628,584.428289,4,0.33375,1,0
788.996348961652,777.073719250899,-65.7009427524801,867.216776,5,0.2554,1,0
907.163690062489,725.513924931082,-90.3628156965215,695.82925,6,0.197833333333333,1,0
777.1082384224,757.083677511616,-117.485407535146,566.228164,4,0.312,1,0
796.025496092002,745.008624395293,14.0313011289328,531.741443,5,0.254,1,0
